source,target,weight,distance,electrode
e0_t218,e0_t220,0.0667,2,FP1
e0_t219,e0_t220,0.2667,1,FP1
e0_t222,e0_t223,0.2667,1,FP1
e0_t223,e0_t224,0.2,1,FP1
e0_t223,e0_t228,0.0667,5,FP1
e0_t223,e0_t230,0.0667,7,FP1
e0_t224,e0_t225,0.3333,1,FP1
e0_t224,e0_t227,0.0667,3,FP1
e0_t227,e0_t228,0.2667,1,FP1
e0_t229,e0_t230,0.3333,1,FP1
e0_t232,e0_t233,0.2667,1,FP1
e0_t233,e0_t234,0.2667,1,FP1
e0_t234,e0_t235,0.2667,1,FP1
e0_t234,e0_t236,0.0667,2,FP1
e0_t239,e0_t244,0.1333,5,FP1
e0_t240,e0_t241,0.2,1,FP1
e0_t240,e0_t242,0.0667,2,FP1
e0_t245,e0_t248,0.0667,3,FP1
e0_t247,e0_t248,0.2667,1,FP1
e0_t248,e0_t249,0.3333,1,FP1
e0_t250,e0_t251,0.2,1,FP1
e0_t251,e0_t252,0.3333,1,FP1
e0_t252,e0_t253,0.2,1,FP1
e0_t252,e0_t255,0.0667,3,FP1
e0_t0,e0_t1,0.2,1,FP1
e0_t4,e0_t5,0.0667,1,FP1
e0_t6,e0_t42,0.0667,36,FP1
e0_t11,e0_t12,0.2,1,FP1
e0_t13,e0_t14,0.1333,1,FP1
e0_t13,e0_t42,0.0667,29,FP1
e0_t14,e0_t15,0.1333,1,FP1
e0_t14,e0_t21,0.0667,7,FP1
e0_t15,e0_t18,0.0667,3,FP1
e0_t15,e0_t19,0.0667,4,FP1
e0_t20,e0_t21,0.0667,1,FP1
e0_t21,e0_t22,0.0667,1,FP1
e0_t23,e0_t24,0.2,1,FP1
e0_t23,e0_t42,0.0667,19,FP1
e0_t24,e0_t25,0.2667,1,FP1
e0_t25,e0_t28,0.1333,3,FP1
e0_t26,e0_t27,0.1333,1,FP1
e0_t27,e0_t28,0.2,1,FP1
e0_t28,e0_t29,0.2667,1,FP1
e0_t29,e0_t30,0.2667,1,FP1
e0_t30,e0_t31,0.2,1,FP1
e0_t30,e0_t34,0.1333,4,FP1
e0_t30,e0_t35,0.0667,5,FP1
e0_t31,e0_t32,0.3333,1,FP1
e0_t31,e0_t33,0.0667,2,FP1
e0_t31,e0_t34,0.1333,3,FP1
e0_t32,e0_t33,0.2,1,FP1
e0_t33,e0_t34,0.2667,1,FP1
e0_t36,e0_t37,0.3333,1,FP1
e0_t36,e0_t41,0.0667,5,FP1
e0_t37,e0_t38,0.3333,1,FP1
e0_t37,e0_t41,0.0667,4,FP1
e0_t38,e0_t40,0.0667,2,FP1
e0_t43,e0_t44,0.2,1,FP1
e0_t43,e0_t49,0.0667,6,FP1
e0_t43,e0_t61,0.0667,18,FP1
e0_t43,e0_t86,0.0667,43,FP1
e0_t43,e0_t93,0.0667,50,FP1
e0_t44,e0_t45,0.2,1,FP1
e0_t44,e0_t48,0.1333,4,FP1
e0_t44,e0_t49,0.0667,5,FP1
e0_t45,e0_t46,0.1333,1,FP1
e0_t45,e0_t48,0.0667,3,FP1
e0_t46,e0_t47,0.2667,1,FP1
e0_t47,e0_t48,0.2667,1,FP1
e0_t50,e0_t51,0.3333,1,FP1
e0_t51,e0_t52,0.2667,1,FP1
e0_t51,e0_t53,0.2,2,FP1
e0_t51,e0_t60,0.0667,9,FP1
e0_t55,e0_t56,0.1333,1,FP1
e0_t55,e0_t60,0.0667,5,FP1
e0_t56,e0_t57,0.3333,1,FP1
e0_t56,e0_t58,0.0667,2,FP1
e0_t56,e0_t59,0.0667,3,FP1
e0_t58,e0_t59,0.1333,1,FP1
e0_t59,e0_t60,0.2667,1,FP1
e0_t61,e0_t68,0.0667,7,FP1
e0_t61,e0_t85,0.0667,24,FP1
e0_t62,e0_t66,0.0667,4,FP1
e0_t63,e0_t66,0.0667,3,FP1
e0_t66,e0_t67,0.2667,1,FP1
e0_t70,e0_t71,0.2667,1,FP1
e0_t71,e0_t72,0.2,1,FP1
e0_t71,e0_t76,0.0667,5,FP1
e0_t71,e0_t85,0.0667,14,FP1
e0_t72,e0_t73,0.1333,1,FP1
e0_t72,e0_t75,0.0667,3,FP1
e0_t74,e0_t75,0.2667,1,FP1
e0_t75,e0_t76,0.2,1,FP1
e0_t76,e0_t77,0.2,1,FP1
e0_t77,e0_t85,0.0667,8,FP1
e0_t78,e0_t79,0.2667,1,FP1
e0_t79,e0_t84,0.1333,5,FP1
e0_t83,e0_t84,0.2,1,FP1
e0_t84,e0_t85,0.2,1,FP1
e0_t85,e0_t86,0.2667,1,FP1
e0_t87,e0_t88,0.2,1,FP1
e0_t88,e0_t89,0.3333,1,FP1
e0_t88,e0_t92,0.0667,4,FP1
e0_t89,e0_t91,0.1333,2,FP1
e0_t90,e0_t91,0.2,1,FP1
e0_t93,e0_t101,0.0667,8,FP1
e0_t94,e0_t101,0.0667,7,FP1
e0_t96,e0_t100,0.1333,4,FP1
e0_t100,e0_t101,0.3333,1,FP1
e0_t102,e0_t103,0.1333,1,FP1
e0_t102,e0_t108,0.0667,6,FP1
e0_t103,e0_t104,0.1333,1,FP1
e0_t103,e0_t108,0.0667,5,FP1
e0_t104,e0_t105,0.3333,1,FP1
e0_t104,e0_t106,0.0667,2,FP1
e0_t104,e0_t107,0.0667,3,FP1
e0_t108,e0_t206,0.0667,98,FP1
e0_t109,e0_t115,0.0667,6,FP1
e0_t109,e0_t153,0.0667,44,FP1
e0_t109,e0_t164,0.0667,55,FP1
e0_t109,e0_t165,0.0667,56,FP1
e0_t109,e0_t166,0.0667,57,FP1
e0_t110,e0_t114,0.0667,4,FP1
e0_t111,e0_t112,0.2667,1,FP1
e0_t111,e0_t114,0.0667,3,FP1
e0_t114,e0_t115,0.2667,1,FP1
e0_t116,e0_t117,0.0667,1,FP1
e0_t117,e0_t118,0.2,1,FP1
e0_t117,e0_t120,0.0667,3,FP1
e0_t118,e0_t119,0.2667,1,FP1
e0_t122,e0_t135,0.0667,13,FP1
e0_t122,e0_t152,0.0667,30,FP1
e0_t123,e0_t126,0.0667,3,FP1
e0_t123,e0_t127,0.1333,4,FP1
e0_t123,e0_t128,0.0667,5,FP1
e0_t123,e0_t134,0.0667,11,FP1
e0_t123,e0_t135,0.0667,12,FP1
e0_t130,e0_t134,0.0667,4,FP1
e0_t133,e0_t134,0.2,1,FP1
e0_t134,e0_t135,0.1333,1,FP1
e0_t135,e0_t136,0.1333,1,FP1
e0_t136,e0_t152,0.0667,16,FP1
e0_t137,e0_t138,0.2,1,FP1
e0_t137,e0_t142,0.1333,5,FP1
e0_t137,e0_t152,0.0667,15,FP1
e0_t138,e0_t139,0.1333,1,FP1
e0_t138,e0_t142,0.0667,4,FP1
e0_t139,e0_t141,0.0667,2,FP1
e0_t140,e0_t141,0.2,1,FP1
e0_t141,e0_t142,0.2667,1,FP1
e0_t142,e0_t143,0.2667,1,FP1
